Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/11 2:07:39 PM GMT+5:30,49,Male,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,No,Rarely,nan,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Sometimes,1,Sometimes,2,2,Competitive prices,Nothing,442005
2023/06/11 11:06:52 PM GMT+5:30,28,Prefer not to say,Few times a month,Home and Kitchen,No,Few times a month,others,First page,1,Yes,Always,Found a better price elsewhere,Always,Yes,Never,No,5,No,4,4,Competitive prices,Add more familiar brands to the list,501668
2023/06/06 7:42:51 PM GMT+5:30,18,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Keyword,First page,1,Yes,Sometimes,others,Often,Yes,Heavily,No,4,No,1,5,Competitive prices,Reducing packaging waste,489063
2023/06/08 5:59:25 PM GMT+5:30,24,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,nan,First page,1,Yes,Never,High shipping costs,Never,Yes,Moderately,No,3,Sometimes,4,3,Customer service ,User interface of app,916213
2023/06/06 7:18:52 PM GMT+5:30,28,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Multiple times a day,others,Multiple pages,4,No,Never,Found a better price elsewhere,Never,No,Rarely,No,5,No,4,4,Quick delivery,Shipping speed and reliability,711672
2023/06/07 10:16:22 PM GMT+5:30,45,Male,Once a month,Groceries and Gourmet Food;Home and Kitchen,No,Multiple times a day,categories,First page,2,Yes,Rarely,Found a better price elsewhere,Always,Yes,Rarely,Yes,5,Yes,4,5,Quick delivery,User interface ,563956
2023/06/06 5:16:58 PM GMT+5:30,63,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a week,others,First page,2,No,Sometimes,High shipping costs,Sometimes,Yes,Moderately,Sometimes,3,No,1,2,All the above,UI,111026
2023/06/11 11:07:31 PM GMT+5:30,65,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,categories,Multiple pages,3,No,Never,others,Always,No,Occasionally,No,4,Sometimes,4,3,Customer service,Shipping speed and reliability,489101
2023/06/07 10:09:54 PM GMT+5:30,50,Male,Once a week,Groceries and Gourmet Food,Sometimes,Few times a week,nan,First page,4,Maybe,Rarely,High shipping costs,Rarely,No,Rarely,Yes,2,Sometimes,5,3,All the above,Reducing packaging waste,407050
2023/06/08 3:27:57 AM GMT+5:30,26,Prefer not to say,Less than once a month,Home and Kitchen,Yes,Few times a week,nan,First page,3,No,Often,others,Never,Yes,Never,Sometimes,1,Sometimes,3,4,Quick delivery,UI,702617
2023/06/05 4:52:12 PM GMT+5:30,25,Male,Few times a month,Home and Kitchen,Sometimes,Rarely,Keyword,First page,1,Yes,Sometimes,others,Sometimes,Yes,Rarely,Sometimes,1,No,1,3,Customer service ,User interface of app,475699
2023/06/11 11:21:30 PM GMT+5:30,3,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,Multiple pages,3,No,Always,others,Rarely,Yes,Never,Sometimes,1,No,5,1,Quick delivery,User interface ,495584
2023/06/11 10:44:01 PM GMT+5:30,32,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,nan,First page,2,Yes,Never,High shipping costs,Rarely,No,Rarely,Yes,3,Yes,2,3,Product recommendations,Shipping speed and reliability,202994
2023/06/07 11:03:50 PM GMT+5:30,17,Prefer not to say,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,nan,First page,1,Maybe,Never,High shipping costs,Rarely,No,Never,Yes,3,No,4,4,Product recommendations,Irrelevant product suggestions,206056
2023/06/08 5:36:14 PM GMT+5:30,7,Others,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,categories,Multiple pages,1,No,Always,others,Never,No,Never,Sometimes,5,Yes,5,1,Product recommendations,Product quality and accuracy,811022
2023/06/07 10:16:54 PM GMT+5:30,47,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,categories,First page,2,No,Never,High shipping costs,Often,No,Heavily,Sometimes,3,No,5,2,Product recommendations,User interface ,740964
2023/06/11 11:18:35 PM GMT+5:30,53,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,categories,First page,3,No,Often,Found a better price elsewhere,Always,No,Heavily,Sometimes,5,No,3,5,Quick delivery,User interface of app,161486
2023/06/07 10:07:42 PM GMT+5:30,19,Prefer not to say,Once a week,others,No,Few times a week,others,First page,3,Yes,Always,others,Rarely,Yes,Never,Yes,5,No,2,1,Wide product selection,.,289139
2023/06/07 9:21:50 PM GMT+5:30,6,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,Keyword,Multiple pages,5,Yes,Rarely,High shipping costs,Never,Yes,Heavily,Sometimes,3,Yes,3,3,Quick delivery,User interface ,442258
2023/06/09 9:34:07 AM GMT+5:30,19,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a week,nan,First page,2,Maybe,Often,others,Sometimes,Yes,Occasionally,Yes,3,Yes,1,1,Quick delivery,I don't have any problem with Amazon,752557
2023/06/06 7:31:34 PM GMT+5:30,50,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,others,First page,2,Yes,Never,High shipping costs,Always,Yes,Rarely,Yes,4,Yes,5,4,Product recommendations,Product quality and accuracy,733961
2023/06/05 12:05:20 AM GMT+5:30,46,Others,Less than once a month,Groceries and Gourmet Food,Yes,Few times a week,categories,Multiple pages,3,Yes,Rarely,High shipping costs,Never,No,Occasionally,Sometimes,3,Sometimes,3,5,All the above,Add more familiar brands to the list,990115
2023/06/09 10:23:45 AM GMT+5:30,10,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,categories,Multiple pages,3,Maybe,Always,Changed my mind or no longer need the item,Rarely,No,Rarely,Yes,1,Yes,2,4,Customer service ,Scrolling option would be much better than going to next page,274234
2023/06/12 3:49:27 PM GMT+5:30,40,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Keyword,First page,3,Yes,Rarely,High shipping costs,Never,Yes,Moderately,No,4,No,5,3,Wide product selection,UI,381817
2023/06/11 11:18:35 PM GMT+5:30,65,Others,Multiple times a week,Beauty and Personal Care;others,Sometimes,Multiple times a day,nan,First page,4,No,Always,High shipping costs,Sometimes,No,Occasionally,Yes,2,Sometimes,2,1,All the above,Customer service responsiveness,678843
2023/06/04 9:40:54 PM GMT+5:30,21,Male,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a month,nan,Multiple pages,2,Maybe,Rarely,Found a better price elsewhere,Never,No,Moderately,Yes,3,Yes,1,4,.,UI,910533
2023/06/07 10:16:54 PM GMT+5:30,30,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,nan,First page,3,No,Always,Found a better price elsewhere,Often,No,Moderately,No,2,Yes,3,5,Wide product selection,I don't have any problem with Amazon,416882
2023/06/12 3:47:01 PM GMT+5:30,33,Prefer not to say,Multiple times a week,Home and Kitchen,No,Rarely,Filter,Multiple pages,5,Yes,Rarely,High shipping costs,Sometimes,Yes,Rarely,Sometimes,1,No,3,2,Quick delivery,Quality of product is very poor according to the big offers,453574
2023/06/06 7:46:27 PM GMT+5:30,32,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,others,First page,2,No,Always,others,Often,Yes,Moderately,Yes,2,Yes,1,2,User-friendly website/app interface,Shipping speed and reliability,954316
2023/06/05 10:37:36 AM GMT+5:30,14,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Multiple times a day,nan,Multiple pages,2,Yes,Rarely,Found a better price elsewhere,Always,No,Heavily,Sometimes,5,Yes,1,4,Quick delivery,User interface of app,183996
2023/06/12 3:51:31 PM GMT+5:30,38,Male,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,nan,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,No,4,Yes,4,5,Product recommendations,.,634998
2023/06/09 4:32:00 PM GMT+5:30,60,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Multiple times a day,Keyword,Multiple pages,5,Maybe,Always,others,Rarely,Yes,Moderately,No,3,No,1,4,Customer service ,Irrelevant product suggestions,872721
2023/06/08 9:40:24 PM GMT+5:30,15,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Multiple times a day,others,First page,2,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Rarely,Yes,5,Sometimes,2,2,All the above,UI,392927
2023/06/09 3:16:30 PM GMT+5:30,10,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a month,nan,Multiple pages,1,No,Always,High shipping costs,Often,Yes,Never,No,4,Yes,3,1,Product recommendations,Quality of product is very poor according to the big offers,969060
2023/06/06 6:44:50 PM GMT+5:30,40,Prefer not to say,Multiple times a week,Home and Kitchen,No,Few times a week,categories,First page,5,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Sometimes,1,Yes,1,4,Quick delivery,UI,254059
2023/06/09 10:28:57 AM GMT+5:30,61,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,others,Multiple pages,4,Maybe,Sometimes,Found a better price elsewhere,Always,No,Rarely,Sometimes,2,Yes,2,4,Competitive prices,Irrelevant product suggestions,458596
2023/06/06 7:02:21 PM GMT+5:30,40,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,Multiple pages,4,Yes,Never,High shipping costs,Sometimes,Yes,Never,No,2,No,4,4,Customer service,Irrelevant product suggestions,626742
2023/06/07 4:10:33 PM GMT+5:30,55,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Rarely,Keyword,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Never,Yes,Occasionally,No,1,Sometimes,4,1,Competitive prices,Shipping speed and reliability,584766
2023/06/08 5:36:14 PM GMT+5:30,5,Others,Few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,others,Multiple pages,5,Yes,Often,others,Always,No,Moderately,Yes,2,Yes,5,5,.,Scrolling option would be much better than going to next page,980443
2023/06/12 4:02:02 PM GMT+5:30,65,Female,Multiple times a week,Home and Kitchen;others,Sometimes,Rarely,others,Multiple pages,1,Maybe,Never,Found a better price elsewhere,Always,Yes,Occasionally,Sometimes,3,Yes,5,3,Competitive prices,.,669945
2023/06/08 5:57:03 PM GMT+5:30,27,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,nan,First page,1,Maybe,Rarely,Found a better price elsewhere,Never,Yes,Occasionally,Sometimes,2,No,5,4,All the above,UI,757014
2023/06/08 9:16:26 AM GMT+5:30,17,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Filter,Multiple pages,2,No,Sometimes,others,Sometimes,No,Heavily,Sometimes,5,No,2,4,Customer service,Quality of product is very poor according to the big offers,741608
2023/06/08 9:39:30 PM GMT+5:30,16,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Multiple times a day,others,First page,3,Yes,Rarely,Changed my mind or no longer need the item,Often,Yes,Heavily,Sometimes,4,No,2,5,Product recommendations,Nil,753631
2023/06/06 7:21:26 PM GMT+5:30,26,Female,Once a month,Clothing and Fashion;others,Yes,Multiple times a day,nan,First page,1,No,Sometimes,others,Never,Yes,Occasionally,Sometimes,3,Yes,1,2,Wide product selection,Reducing packaging waste,606520
2023/06/09 2:35:29 PM GMT+5:30,21,Male,Once a week,others,No,Rarely,others,Multiple pages,1,No,Never,Changed my mind or no longer need the item,Often,No,Rarely,Sometimes,5,Sometimes,5,1,Quick delivery,User interface of app,891554
2023/06/05 2:10:33 PM GMT+5:30,30,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,First page,3,Maybe,Never,High shipping costs,Always,No,Never,Yes,1,Sometimes,2,4,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues ,240175
2023/06/12 2:51:24 PM GMT+5:30,26,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,nan,Multiple pages,3,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,5,Sometimes,5,1,All the above,Add more familiar brands to the list,904978
2023/06/09 10:24:58 AM GMT+5:30,20,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,categories,First page,3,No,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,No,1,Sometimes,4,4,Quick delivery,Add more familiar brands to the list,498041
2023/06/09 2:44:09 PM GMT+5:30,30,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,No,Rarely,others,Multiple pages,1,No,Never,others,Never,Yes,Occasionally,No,2,No,4,3,Wide product selection,No problems with Amazon,227490
2023/06/07 9:32:38 AM GMT+5:30,4,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Filter,Multiple pages,4,Yes,Always,High shipping costs,Often,Yes,Moderately,Sometimes,5,Yes,5,3,Product recommendations,User interface ,582093
2023/06/07 9:22:24 PM GMT+5:30,21,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,nan,First page,5,Yes,Always,Found a better price elsewhere,Never,Yes,Never,Sometimes,5,No,3,5,.,better app interface and lower shipping charges,639691
2023/06/05 12:57:05 AM GMT+5:30,38,Male,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,5,Yes,Never,Changed my mind or no longer need the item,Always,No,Heavily,Sometimes,1,No,5,2,Competitive prices,Product quality and accuracy,873871
2023/06/08 5:52:26 PM GMT+5:30,28,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,Keyword,First page,3,No,Always,others,Often,No,Heavily,Sometimes,5,No,3,5,Customer service ,Shipping speed and reliability,714573
2023/06/12 3:48:11 PM GMT+5:30,50,Others,Few times a month,Beauty and Personal Care,No,Rarely,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Never,Yes,2,No,5,5,User-friendly website/app interface,Nothing,307799
2023/06/11 11:28:26 PM GMT+5:30,7,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few times a week,Keyword,First page,4,No,Never,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,3,Sometimes,2,5,Quick delivery,better app interface and lower shipping charges,676772
2023/06/07 9:25:35 AM GMT+5:30,35,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,No,4,No,5,5,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,725944
2023/06/12 9:40:22 AM GMT+5:30,43,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,categories,First page,5,Maybe,Sometimes,Found a better price elsewhere,Always,Yes,Heavily,Sometimes,1,Yes,1,4,Wide product selection,Quality of product is very poor according to the big offers,611875
2023/06/06 3:02:38 PM GMT+5:30,44,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,Keyword,Multiple pages,1,Yes,Never,others,Always,No,Heavily,No,4,Yes,4,4,Competitive prices,.,804542
2023/06/07 9:18:29 PM GMT+5:30,50,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,Keyword,First page,5,Yes,Always,Changed my mind or no longer need the item,Always,Yes,Never,No,5,Yes,1,5,Wide product selection,Scrolling option would be much better than going to next page,530493
2023/06/08 5:23:05 PM GMT+5:30,17,Female,Once a week,Beauty and Personal Care;others,Yes,Rarely,categories,Multiple pages,3,Maybe,Always,Changed my mind or no longer need the item,Never,Yes,Heavily,Sometimes,3,Yes,4,1,Product recommendations,.,509248
2023/06/08 5:54:49 PM GMT+5:30,49,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,2,Yes,Always,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,1,Sometimes,3,1,Product recommendations,Quality of product is very poor according to the big offers,698108
2023/06/11 11:18:35 PM GMT+5:30,3,Female,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Few times a month,Filter,First page,4,Yes,Sometimes,others,Never,Yes,Moderately,Yes,3,No,5,5,Wide product selection,UI,712602
2023/06/07 12:50:13 PM GMT+5:30,55,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Multiple times a day,nan,First page,1,Yes,Always,Changed my mind or no longer need the item,Always,No,Rarely,Sometimes,3,Sometimes,5,3,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,688892
2023/06/06 7:20:35 PM GMT+5:30,33,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,4,No,Often,High shipping costs,Rarely,No,Occasionally,Yes,5,Sometimes,4,5,Customer service ,Irrelevant product suggestions,602027
2023/06/06 6:32:00 PM GMT+5:30,64,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,categories,First page,1,Yes,Sometimes,others,Always,Yes,Never,Yes,3,Sometimes,3,3,.,Add more familiar brands to the list,545915
2023/06/07 1:33:51 PM GMT+5:30,63,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Rarely,Filter,Multiple pages,3,No,Often,others,Sometimes,No,Moderately,Yes,5,No,1,1,Wide product selection,Customer service responsiveness,842435
2023/06/11 10:58:52 PM GMT+5:30,40,Others,Few times a month,Clothing and Fashion,Sometimes,Few times a month,nan,Multiple pages,5,Maybe,Often,Changed my mind or no longer need the item,Always,No,Never,Sometimes,3,Yes,1,1,Product recommendations,Reducing packaging waste,668283
2023/06/06 6:46:14 PM GMT+5:30,21,Others,Once a month,Beauty and Personal Care,Sometimes,Multiple times a day,others,First page,3,Maybe,Sometimes,Found a better price elsewhere,Rarely,Yes,Rarely,Sometimes,4,Sometimes,3,2,User-friendly website/app interface,.,227047
2023/06/12 3:42:05 PM GMT+5:30,65,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,4,Maybe,Never,others,Always,Yes,Rarely,Sometimes,4,Yes,3,2,Customer service,I don't have any problem with Amazon,474536
2023/06/12 2:48:55 PM GMT+5:30,22,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,nan,First page,3,No,Sometimes,others,Rarely,Yes,Moderately,Yes,1,Yes,4,5,Customer service,Product quality and accuracy,174677
2023/06/12 3:42:05 PM GMT+5:30,31,Others,Less than once a month,Groceries and Gourmet Food,Sometimes,Multiple times a day,categories,Multiple pages,5,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Never,Yes,3,Sometimes,3,3,Quick delivery,User interface ,265800
2023/06/07 11:47:07 AM GMT+5:30,52,Male,Few times a month,Clothing and Fashion;Home and Kitchen;others,No,Rarely,Keyword,First page,1,Yes,Always,others,Sometimes,Yes,Moderately,No,3,Yes,5,4,Customer service,Customer service responsiveness,320894
2023/06/05 12:02:56 AM GMT+5:30,49,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,others,First page,5,No,Always,Found a better price elsewhere,Always,No,Never,No,1,Sometimes,2,5,Wide product selection,Scrolling option would be much better than going to next page,621948
2023/06/07 12:50:13 PM GMT+5:30,43,Female,Multiple times a week,others,No,Few times a month,others,Multiple pages,3,No,Always,others,Never,No,Never,Sometimes,3,No,5,3,Product recommendations,Quality of product is very poor according to the big offers,714343
2023/06/06 10:36:14 AM GMT+5:30,15,Others,Less than once a month,Clothing and Fashion;others,Yes,Few times a month,Filter,Multiple pages,1,Yes,Never,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,1,No,4,2,User-friendly website/app interface,User interface ,589056
2023/06/07 9:20:34 AM GMT+5:30,10,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Rarely,categories,Multiple pages,5,Maybe,Always,Found a better price elsewhere,Rarely,Yes,Moderately,Sometimes,5,Sometimes,1,3,Product recommendations,Quality of product is very poor according to the big offers,517315
2023/06/08 10:41:11 PM GMT+5:30,8,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,3,Yes,Never,others,Never,No,Heavily,Sometimes,3,Sometimes,2,2,Customer service ,Scrolling option would be much better than going to next page,448837
2023/06/06 7:18:52 PM GMT+5:30,52,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,others,First page,4,Yes,Never,High shipping costs,Often,No,Rarely,Yes,3,No,3,2,Customer service,Add more familiar brands to the list,882776
2023/06/07 10:21:00 PM GMT+5:30,60,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Multiple times a day,categories,Multiple pages,2,No,Never,Changed my mind or no longer need the item,Rarely,Yes,Heavily,Yes,3,Yes,3,2,Wide product selection,I don't have any problem with Amazon,105493
2023/06/09 4:32:00 PM GMT+5:30,36,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,nan,Multiple pages,1,No,Never,others,Sometimes,Yes,Heavily,No,1,Yes,3,4,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,248650
2023/06/07 9:19:23 AM GMT+5:30,17,Male,Once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a month,categories,Multiple pages,4,No,Rarely,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,4,Yes,3,3,Wide product selection,Quality of product is very poor according to the big offers,523699
2023/06/11 10:50:44 PM GMT+5:30,11,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,categories,First page,5,Yes,Always,Found a better price elsewhere,Never,No,Rarely,Sometimes,1,No,5,1,Customer service,I have no problem with Amazon yet. But others tell me about the refund issues ,600153
2023/06/07 10:10:26 PM GMT+5:30,15,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,First page,4,Yes,Sometimes,others,Often,Yes,Never,No,4,Yes,3,5,Competitive prices,I don't have any problem with Amazon,859826
2023/06/04 7:48:31 PM GMT+5:30,10,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,categories,First page,2,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,Yes,5,No,2,4,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,660625
2023/06/06 8:56:17 PM GMT+5:30,61,Prefer not to say,Once a month,Groceries and Gourmet Food,Sometimes,Multiple times a day,nan,Multiple pages,4,Maybe,Often,High shipping costs,Always,No,Occasionally,No,5,No,3,3,Product recommendations,.,698357
2023/06/06 6:48:26 PM GMT+5:30,5,Others,Once a week,Home and Kitchen,No,Few times a week,categories,First page,5,Yes,Often,Found a better price elsewhere,Rarely,No,Rarely,Yes,2,Sometimes,2,5,.,Irrelevant product suggestions,259536
2023/06/09 2:44:09 PM GMT+5:30,53,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Filter,Multiple pages,4,Maybe,Sometimes,High shipping costs,Often,Yes,Never,No,3,Yes,4,4,Product recommendations,Product quality and accuracy,379638
2023/06/07 6:17:42 PM GMT+5:30,17,Male,Few times a month,Beauty and Personal Care;others,No,Few times a month,Keyword,Multiple pages,5,Maybe,Often,Changed my mind or no longer need the item,Sometimes,Yes,Never,Sometimes,1,Sometimes,1,1,User-friendly website/app interface,Add more familiar brands to the list,735277
2023/06/08 3:27:57 AM GMT+5:30,53,Female,Less than once a month,others,No,Few times a month,Keyword,First page,4,Yes,Never,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,5,Yes,1,5,All the above,I don't have any problem with Amazon,123102
2023/06/08 5:57:34 PM GMT+5:30,36,Male,Less than once a month,Groceries and Gourmet Food,Sometimes,Rarely,Keyword,First page,4,Maybe,Often,Changed my mind or no longer need the item,Rarely,Yes,Rarely,Sometimes,3,Yes,5,1,User-friendly website/app interface,User interface ,998259
2023/06/11 11:22:19 PM GMT+5:30,20,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Rarely,others,Multiple pages,5,No,Often,High shipping costs,Often,Yes,Rarely,No,3,Sometimes,2,4,All the above,I have no problem with Amazon yet. But others tell me about the refund issues ,317141
2023/06/08 5:58:03 PM GMT+5:30,9,Others,Less than once a month,Clothing and Fashion;Home and Kitchen,Yes,Rarely,nan,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Never,No,Rarely,Yes,4,Yes,1,4,Customer service,Nothing,628307
2023/06/11 11:19:45 PM GMT+5:30,46,Others,Once a month,Home and Kitchen,Yes,Rarely,categories,First page,2,No,Often,others,Never,No,Heavily,Yes,1,Sometimes,3,4,Product recommendations,Nil,812784
2023/06/12 3:55:53 PM GMT+5:30,44,Prefer not to say,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Multiple times a day,others,First page,1,No,Never,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Yes,4,Sometimes,2,5,Quick delivery,User interface of app,836826
2023/06/09 3:07:36 PM GMT+5:30,21,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a month,categories,First page,1,Yes,Sometimes,High shipping costs,Often,No,Heavily,No,2,Sometimes,2,3,All the above,User interface of app,379043
2023/06/06 4:25:49 PM GMT+5:30,58,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,First page,4,Maybe,Often,High shipping costs,Always,Yes,Occasionally,No,3,No,2,5,Customer service,Quality of product is very poor according to the big offers,984845
2023/06/11 10:47:42 PM GMT+5:30,29,Others,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Keyword,First page,3,Yes,Never,Changed my mind or no longer need the item,Never,No,Occasionally,Sometimes,2,Yes,2,4,Quick delivery,No problems with Amazon,292972
